Deck Code   -  Average T5 Damage
11-08-06-05 - Avg. Dmg. : 40.8705
09-11-02-08 - Avg. Dmg. : 40.8704
15-10-00-05 - Avg. Dmg. : 40.8699
09-16-01-04 - Avg. Dmg. : 40.868
12-07-05-06 - Avg. Dmg. : 40.8672
14-08-01-07 - Avg. Dmg. : 40.8661
12-08-02-08 - Avg. Dmg. : 40.8638
13-10-05-02 - Avg. Dmg. : 40.8574
14-08-05-03 - Avg. Dmg. : 40.8529
08-13-03-06 - Avg. Dmg. : 40.8528
15-09-00-06 - Avg. Dmg. : 40.8508
14-07-04-05 - Avg. Dmg. : 40.8499
09-13-05-03 - Avg. Dmg. : 40.8456
12-07-06-05 - Avg. Dmg. : 40.8449
13-13-02-02 - Avg. Dmg. : 40.8446
09-11-06-04 - Avg. Dmg. : 40.8409
12-15-00-03 - Avg. Dmg. : 40.8358
11-14-03-02 - Avg. Dmg. : 40.8324
15-11-00-04 - Avg. Dmg. : 40.8311
09-12-00-09 - Avg. Dmg. : 40.8309
10-10-07-03 - Avg. Dmg. : 40.8289
11-08-07-04 - Avg. Dmg. : 40.8285
14-10-04-02 - Avg. Dmg. : 40.8277
15-08-03-04 - Avg. Dmg. : 40.8273
08-14-03-05 - Avg. Dmg. : 40.8226
11-16-00-03 - Avg. Dmg. : 40.822
09-10-04-07 - Avg. Dmg. : 40.8218
13-07-06-04 - Avg. Dmg. : 40.8216
09-10-06-05 - Avg. Dmg. : 40.8196
08-14-01-07 - Avg. Dmg. : 40.8191
09-14-04-03 - Avg. Dmg. : 40.8185
10-16-01-03 - Avg. Dmg. : 40.8159
12-14-02-02 - Avg. Dmg. : 40.8151
13-14-00-03 - Avg. Dmg. : 40.813
08-14-02-06 - Avg. Dmg. : 40.8117
15-10-02-03 - Avg. Dmg. : 40.8114
13-07-03-07 - Avg. Dmg. : 40.8112
15-08-01-06 - Avg. Dmg. : 40.8108
08-15-01-06 - Avg. Dmg. : 40.8102
14-07-03-06 - Avg. Dmg. : 40.8074
08-13-04-05 - Avg. Dmg. : 40.807
15-09-03-03 - Avg. Dmg. : 40.8064
11-10-00-09 - Avg. Dmg. : 40.8054
11-08-03-08 - Avg. Dmg. : 40.8044
09-12-06-03 - Avg. Dmg. : 40.8042
08-15-00-07 - Avg. Dmg. : 40.7995
13-08-01-08 - Avg. Dmg. : 40.7984
10-13-05-02 - Avg. Dmg. : 40.798
13-09-06-02 - Avg. Dmg. : 40.7952
10-09-03-08 - Avg. Dmg. : 40.7931
10-09-07-04 - Avg. Dmg. : 40.7891
08-12-03-07 - Avg. Dmg. : 40.786
12-09-00-09 - Avg. Dmg. : 40.7845
10-12-06-02 - Avg. Dmg. : 40.783
14-09-05-02 - Avg. Dmg. : 40.7814
14-07-06-03 - Avg. Dmg. : 40.7805
11-10-07-02 - Avg. Dmg. : 40.7763
10-10-01-09 - Avg. Dmg. : 40.7747
12-07-04-07 - Avg. Dmg. : 40.7743
11-09-01-09 - Avg. Dmg. : 40.7737
09-15-03-03 - Avg. Dmg. : 40.7722
12-09-07-02 - Avg. Dmg. : 40.7721
12-08-07-03 - Avg. Dmg. : 40.7716
14-11-03-02 - Avg. Dmg. : 40.7696
15-07-03-05 - Avg. Dmg. : 40.7678
