Deck Code   -  Average T5 Damage
09-02-15-04 - Avg. Dmg. : 36.5696
04-19-07-00 - Avg. Dmg. : 36.5693
06-04-10-10 - Avg. Dmg. : 36.569
03-12-03-12 - Avg. Dmg. : 36.5686
03-10-09-08 - Avg. Dmg. : 36.563
04-07-10-09 - Avg. Dmg. : 36.5627
15-01-02-12 - Avg. Dmg. : 36.5627
18-01-00-11 - Avg. Dmg. : 36.5617
25-03-01-01 - Avg. Dmg. : 36.5607
03-10-07-10 - Avg. Dmg. : 36.5568
11-01-08-10 - Avg. Dmg. : 36.5567
25-03-02-00 - Avg. Dmg. : 36.5564
07-04-06-13 - Avg. Dmg. : 36.5518
04-13-13-00 - Avg. Dmg. : 36.5512
06-06-03-15 - Avg. Dmg. : 36.5444
04-07-09-10 - Avg. Dmg. : 36.5443
25-02-03-00 - Avg. Dmg. : 36.5437
03-10-10-07 - Avg. Dmg. : 36.5422
04-07-11-08 - Avg. Dmg. : 36.5386
23-00-01-06 - Avg. Dmg. : 36.5362
18-00-02-10 - Avg. Dmg. : 36.5303
03-11-12-04 - Avg. Dmg. : 36.5286
08-03-07-12 - Avg. Dmg. : 36.5284
14-01-03-12 - Avg. Dmg. : 36.5269
03-10-11-06 - Avg. Dmg. : 36.5247
04-08-05-13 - Avg. Dmg. : 36.5243
25-01-03-01 - Avg. Dmg. : 36.5235
03-12-12-03 - Avg. Dmg. : 36.5229
03-22-00-05 - Avg. Dmg. : 36.5225
14-00-16-00 - Avg. Dmg. : 36.5192
04-07-13-06 - Avg. Dmg. : 36.5164
20-00-01-09 - Avg. Dmg. : 36.5154
03-10-08-09 - Avg. Dmg. : 36.5114
09-02-09-10 - Avg. Dmg. : 36.504
25-02-01-02 - Avg. Dmg. : 36.503
12-00-12-06 - Avg. Dmg. : 36.4931
09-04-02-15 - Avg. Dmg. : 36.4906
25-03-00-02 - Avg. Dmg. : 36.4896
03-18-07-02 - Avg. Dmg. : 36.4875
12-00-11-07 - Avg. Dmg. : 36.4867
07-05-18-00 - Avg. Dmg. : 36.4833
06-05-17-02 - Avg. Dmg. : 36.482
05-06-16-03 - Avg. Dmg. : 36.4781
06-04-14-06 - Avg. Dmg. : 36.4739
04-08-15-03 - Avg. Dmg. : 36.4729
04-10-15-01 - Avg. Dmg. : 36.4718
11-02-04-13 - Avg. Dmg. : 36.47
06-07-01-16 - Avg. Dmg. : 36.4699
08-04-18-00 - Avg. Dmg. : 36.4673
06-04-11-09 - Avg. Dmg. : 36.4666
12-00-14-04 - Avg. Dmg. : 36.4605
04-12-14-00 - Avg. Dmg. : 36.4602
25-01-02-02 - Avg. Dmg. : 36.46
25-01-04-00 - Avg. Dmg. : 36.4596
12-00-13-05 - Avg. Dmg. : 36.4586
13-01-04-12 - Avg. Dmg. : 36.4553
04-23-01-02 - Avg. Dmg. : 36.4532
25-02-00-03 - Avg. Dmg. : 36.4531
05-07-03-15 - Avg. Dmg. : 36.4515
25-04-00-01 - Avg. Dmg. : 36.447
07-06-01-16 - Avg. Dmg. : 36.4411
03-11-04-12 - Avg. Dmg. : 36.4342
07-04-17-02 - Avg. Dmg. : 36.4333
03-21-03-03 - Avg. Dmg. : 36.4294
13-00-07-10 - Avg. Dmg. : 36.4254
04-07-14-05 - Avg. Dmg. : 36.4224
03-10-12-05 - Avg. Dmg. : 36.4214
25-04-01-00 - Avg. Dmg. : 36.4176
16-01-01-12 - Avg. Dmg. : 36.4148
25-01-01-03 - Avg. Dmg. : 36.4141
04-07-08-11 - Avg. Dmg. : 36.4124
03-10-06-11 - Avg. Dmg. : 36.412
03-14-11-02 - Avg. Dmg. : 36.4083
04-11-15-00 - Avg. Dmg. : 36.4082
07-03-13-07 - Avg. Dmg. : 36.4032
03-19-06-02 - Avg. Dmg. : 36.4031
05-05-13-07 - Avg. Dmg. : 36.3997
08-03-17-02 - Avg. Dmg. : 36.3991
07-03-12-08 - Avg. Dmg. : 36.3982
09-02-08-11 - Avg. Dmg. : 36.3967
05-09-00-16 - Avg. Dmg. : 36.3964
06-05-05-14 - Avg. Dmg. : 36.3898
05-05-14-06 - Avg. Dmg. : 36.3892
09-05-00-16 - Avg. Dmg. : 36.3864
05-08-01-16 - Avg. Dmg. : 36.3858
11-01-16-02 - Avg. Dmg. : 36.3829
10-02-17-01 - Avg. Dmg. : 36.3824
05-05-12-08 - Avg. Dmg. : 36.3758
06-04-15-05 - Avg. Dmg. : 36.3731
05-05-10-10 - Avg. Dmg. : 36.3704
04-20-06-00 - Avg. Dmg. : 36.368
04-07-07-12 - Avg. Dmg. : 36.3658
05-05-11-09 - Avg. Dmg. : 36.3633
24-00-01-05 - Avg. Dmg. : 36.3577
07-03-11-09 - Avg. Dmg. : 36.354
09-02-16-03 - Avg. Dmg. : 36.3523
03-22-01-04 - Avg. Dmg. : 36.345
04-11-00-15 - Avg. Dmg. : 36.3395
03-16-10-01 - Avg. Dmg. : 36.3391
15-00-04-11 - Avg. Dmg. : 36.339
03-14-00-13 - Avg. Dmg. : 36.3364
03-12-02-13 - Avg. Dmg. : 36.3358
04-10-01-15 - Avg. Dmg. : 36.3354
10-01-13-06 - Avg. Dmg. : 36.3295
12-00-10-08 - Avg. Dmg. : 36.3295
25-00-04-01 - Avg. Dmg. : 36.3217
07-03-10-10 - Avg. Dmg. : 36.3184
08-03-06-13 - Avg. Dmg. : 36.3184
25-05-00-00 - Avg. Dmg. : 36.318
05-07-17-01 - Avg. Dmg. : 36.317
05-24-00-01 - Avg. Dmg. : 36.3146
03-13-12-02 - Avg. Dmg. : 36.3129
25-00-03-02 - Avg. Dmg. : 36.3122
03-11-13-03 - Avg. Dmg. : 36.3051
04-07-15-04 - Avg. Dmg. : 36.3035
05-06-05-14 - Avg. Dmg. : 36.3029
12-00-15-03 - Avg. Dmg. : 36.2995
19-00-01-10 - Avg. Dmg. : 36.2963
07-03-14-06 - Avg. Dmg. : 36.2913
03-09-08-10 - Avg. Dmg. : 36.2912
10-01-12-07 - Avg. Dmg. : 36.2904
08-05-01-16 - Avg. Dmg. : 36.2903
04-22-03-01 - Avg. Dmg. : 36.2835
16-00-03-11 - Avg. Dmg. : 36.2829
05-08-17-00 - Avg. Dmg. : 36.2823
12-01-05-12 - Avg. Dmg. : 36.2773
03-09-11-07 - Avg. Dmg. : 36.2738
13-00-16-01 - Avg. Dmg. : 36.2728
08-04-03-15 - Avg. Dmg. : 36.2722
06-04-09-11 - Avg. Dmg. : 36.2706
09-03-18-00 - Avg. Dmg. : 36.2686
07-04-05-14 - Avg. Dmg. : 36.2676
03-11-03-13 - Avg. Dmg. : 36.2669
03-17-09-01 - Avg. Dmg. : 36.2629
25-00-02-03 - Avg. Dmg. : 36.26
05-05-15-05 - Avg. Dmg. : 36.2594
25-01-00-04 - Avg. Dmg. : 36.259
03-10-13-04 - Avg. Dmg. : 36.2564
03-20-05-02 - Avg. Dmg. : 36.2563
23-00-00-07 - Avg. Dmg. : 36.256
22-00-00-08 - Avg. Dmg. : 36.2546
09-03-04-14 - Avg. Dmg. : 36.2538
03-23-00-04 - Avg. Dmg. : 36.2522
03-18-08-01 - Avg. Dmg. : 36.2515
03-09-09-09 - Avg. Dmg. : 36.2511
03-13-01-13 - Avg. Dmg. : 36.2465
04-09-16-01 - Avg. Dmg. : 36.2451
11-01-07-11 - Avg. Dmg. : 36.2449
03-12-13-02 - Avg. Dmg. : 36.2447
11-03-01-15 - Avg. Dmg. : 36.2378
04-09-02-15 - Avg. Dmg. : 36.2357
06-04-08-12 - Avg. Dmg. : 36.2332
05-05-09-11 - Avg. Dmg. : 36.2311
21-00-00-09 - Avg. Dmg. : 36.2242
10-01-14-05 - Avg. Dmg. : 36.2228
03-22-02-03 - Avg. Dmg. : 36.2212
03-09-12-06 - Avg. Dmg. : 36.2191
10-01-11-08 - Avg. Dmg. : 36.2169
03-09-10-08 - Avg. Dmg. : 36.2161
10-02-05-13 - Avg. Dmg. : 36.2161
03-15-11-01 - Avg. Dmg. : 36.2152
06-06-18-00 - Avg. Dmg. : 36.214
07-03-15-05 - Avg. Dmg. : 36.2139
14-00-05-11 - Avg. Dmg. : 36.2136
05-23-02-00 - Avg. Dmg. : 36.2108
03-10-05-12 - Avg. Dmg. : 36.2098
04-08-04-14 - Avg. Dmg. : 36.2036
07-04-18-01 - Avg. Dmg. : 36.2028
17-00-02-11 - Avg. Dmg. : 36.2007
12-01-17-00 - Avg. Dmg. : 36.2006
25-00-05-00 - Avg. Dmg. : 36.1884
17-01-00-12 - Avg. Dmg. : 36.1854
06-24-00-00 - Avg. Dmg. : 36.1834
02-17-04-07 - Avg. Dmg. : 36.1832
06-04-16-04 - Avg. Dmg. : 36.1822
04-08-16-02 - Avg. Dmg. : 36.1777
04-21-05-00 - Avg. Dmg. : 36.1767
05-06-17-02 - Avg. Dmg. : 36.1667
07-03-09-11 - Avg. Dmg. : 36.1644
12-03-00-15 - Avg. Dmg. : 36.1407
04-07-06-13 - Avg. Dmg. : 36.1393
12-00-09-09 - Avg. Dmg. : 36.1371
03-14-12-01 - Avg. Dmg. : 36.1259
03-09-07-11 - Avg. Dmg. : 36.1236
10-01-10-09 - Avg. Dmg. : 36.1095
24-00-00-06 - Avg. Dmg. : 36.1093
05-05-08-12 - Avg. Dmg. : 36.1084
09-02-07-12 - Avg. Dmg. : 36.1076
06-06-02-16 - Avg. Dmg. : 36.1065
10-02-18-00 - Avg. Dmg. : 36.1029
04-24-00-02 - Avg. Dmg. : 36.0974
25-00-01-04 - Avg. Dmg. : 36.0969
02-17-03-08 - Avg. Dmg. : 36.0953
13-02-01-14 - Avg. Dmg. : 36.0893
06-05-04-15 - Avg. Dmg. : 36.0837
03-21-04-02 - Avg. Dmg. : 36.0836
04-06-13-07 - Avg. Dmg. : 36.083
02-16-05-07 - Avg. Dmg. : 36.0813
03-09-13-05 - Avg. Dmg. : 36.0774
02-18-03-07 - Avg. Dmg. : 36.073
09-02-17-02 - Avg. Dmg. : 36.0727
20-00-00-10 - Avg. Dmg. : 36.0724
05-05-16-04 - Avg. Dmg. : 36.0698
08-02-12-08 - Avg. Dmg. : 36.0682
04-06-12-08 - Avg. Dmg. : 36.0626
08-02-13-07 - Avg. Dmg. : 36.0613
08-03-18-01 - Avg. Dmg. : 36.0597
10-01-15-04 - Avg. Dmg. : 36.0595
04-08-03-15 - Avg. Dmg. : 36.0579
02-16-07-05 - Avg. Dmg. : 36.0553
03-13-00-14 - Avg. Dmg. : 36.0509
04-07-16-03 - Avg. Dmg. : 36.0487
04-06-11-09 - Avg. Dmg. : 36.046
26-02-02-00 - Avg. Dmg. : 36.0408
06-05-18-01 - Avg. Dmg. : 36.0401
02-15-05-08 - Avg. Dmg. : 36.0385
03-13-13-01 - Avg. Dmg. : 36.0327
05-05-07-13 - Avg. Dmg. : 36.0308
06-04-17-03 - Avg. Dmg. : 36.0306
07-04-04-15 - Avg. Dmg. : 36.0304
02-15-06-07 - Avg. Dmg. : 36.0303
04-23-02-01 - Avg. Dmg. : 36.0294
08-02-11-09 - Avg. Dmg. : 36.0276
02-18-04-06 - Avg. Dmg. : 36.0255
02-16-06-06 - Avg. Dmg. : 36.0249
03-10-04-13 - Avg. Dmg. : 36.0216
10-03-02-15 - Avg. Dmg. : 36.0216
02-15-07-06 - Avg. Dmg. : 36.0215
03-19-07-01 - Avg. Dmg. : 36.0206
12-00-16-02 - Avg. Dmg. : 36.0201
07-03-16-04 - Avg. Dmg. : 36.0196
02-17-05-06 - Avg. Dmg. : 36.0187
06-04-07-13 - Avg. Dmg. : 36.0181
12-02-02-14 - Avg. Dmg. : 36.0154
04-06-14-06 - Avg. Dmg. : 36.0151
03-08-11-08 - Avg. Dmg. : 36.0147
26-02-01-01 - Avg. Dmg. : 36.0123
02-16-03-09 - Avg. Dmg. : 36.01
11-01-17-01 - Avg. Dmg. : 36.0088
04-06-10-10 - Avg. Dmg. : 36.0083
03-10-14-03 - Avg. Dmg. : 36.0066
02-16-04-08 - Avg. Dmg. : 36.0065
03-11-14-02 - Avg. Dmg. : 36.0054
13-01-03-13 - Avg. Dmg. : 36.0023
14-02-00-14 - Avg. Dmg. : 36.0022
26-01-02-01 - Avg. Dmg. : 35.9961
26-03-01-00 - Avg. Dmg. : 35.9959
02-14-07-07 - Avg. Dmg. : 35.9955
13-00-06-11 - Avg. Dmg. : 35.9934
02-14-06-08 - Avg. Dmg. : 35.9925
02-18-02-08 - Avg. Dmg. : 35.9917
26-01-03-00 - Avg. Dmg. : 35.9908
11-02-03-14 - Avg. Dmg. : 35.9906
05-07-02-16 - Avg. Dmg. : 35.9896
18-00-01-11 - Avg. Dmg. : 35.9868
10-01-16-03 - Avg. Dmg. : 35.9785
08-02-14-06 - Avg. Dmg. : 35.9761
02-15-04-09 - Avg. Dmg. : 35.9734
10-01-09-10 - Avg. Dmg. : 35.9719
04-10-16-00 - Avg. Dmg. : 35.9716
03-20-06-01 - Avg. Dmg. : 35.9707
03-09-06-12 - Avg. Dmg. : 35.969
15-01-01-13 - Avg. Dmg. : 35.9687
07-03-08-12 - Avg. Dmg. : 35.9654
26-01-01-02 - Avg. Dmg. : 35.9618
12-00-08-10 - Avg. Dmg. : 35.9606
02-19-02-07 - Avg. Dmg. : 35.9575
10-04-00-16 - Avg. Dmg. : 35.9558
02-17-02-09 - Avg. Dmg. : 35.9496
26-02-00-02 - Avg. Dmg. : 35.9465
07-05-02-16 - Avg. Dmg. : 35.9447
14-01-02-13 - Avg. Dmg. : 35.9436
05-06-04-15 - Avg. Dmg. : 35.9435
02-19-03-06 - Avg. Dmg. : 35.9422
03-11-02-14 - Avg. Dmg. : 35.9414
08-02-10-10 - Avg. Dmg. : 35.935
07-03-17-03 - Avg. Dmg. : 35.9349
02-14-08-06 - Avg. Dmg. : 35.934
02-17-06-05 - Avg. Dmg. : 35.932
02-18-01-09 - Avg. Dmg. : 35.9311
26-03-00-01 - Avg. Dmg. : 35.9303
03-08-10-09 - Avg. Dmg. : 35.9271
04-07-05-14 - Avg. Dmg. : 35.9237
11-01-06-12 - Avg. Dmg. : 35.9172
02-14-05-09 - Avg. Dmg. : 35.9133
06-07-00-17 - Avg. Dmg. : 35.9117
03-12-01-14 - Avg. Dmg. : 35.9107
02-13-08-07 - Avg. Dmg. : 35.91
02-18-05-05 - Avg. Dmg. : 35.9067
02-14-09-05 - Avg. Dmg. : 35.9002
02-15-08-05 - Avg. Dmg. : 35.8936
02-19-01-08 - Avg. Dmg. : 35.8935
08-03-05-14 - Avg. Dmg. : 35.8874
04-06-09-11 - Avg. Dmg. : 35.8872
04-10-00-16 - Avg. Dmg. : 35.8843
03-08-12-07 - Avg. Dmg. : 35.8836
08-02-16-04 - Avg. Dmg. : 35.8808
04-06-08-12 - Avg. Dmg. : 35.8807
09-04-01-16 - Avg. Dmg. : 35.8805
25-00-00-05 - Avg. Dmg. : 35.8783
03-09-14-04 - Avg. Dmg. : 35.8767
02-19-04-05 - Avg. Dmg. : 35.8707
02-13-07-08 - Avg. Dmg. : 35.8701
02-16-02-10 - Avg. Dmg. : 35.8689
03-22-03-02 - Avg. Dmg. : 35.8628
08-02-15-05 - Avg. Dmg. : 35.8623
03-08-09-10 - Avg. Dmg. : 35.8621
26-00-03-01 - Avg. Dmg. : 35.8618
09-03-03-15 - Avg. Dmg. : 35.8609
02-18-06-04 - Avg. Dmg. : 35.8598
03-08-13-06 - Avg. Dmg. : 35.8577
05-08-00-17 - Avg. Dmg. : 35.8565
02-20-02-06 - Avg. Dmg. : 35.8542
26-00-02-02 - Avg. Dmg. : 35.8534
13-00-17-00 - Avg. Dmg. : 35.8527
02-16-08-04 - Avg. Dmg. : 35.8517
04-08-17-01 - Avg. Dmg. : 35.8479
07-06-00-17 - Avg. Dmg. : 35.8459
26-01-00-03 - Avg. Dmg. : 35.8437
05-07-18-00 - Avg. Dmg. : 35.8424
10-02-04-14 - Avg. Dmg. : 35.8382
26-04-00-00 - Avg. Dmg. : 35.835
03-09-05-13 - Avg. Dmg. : 35.8332
03-17-10-00 - Avg. Dmg. : 35.8328
15-00-03-12 - Avg. Dmg. : 35.8326
04-22-04-00 - Avg. Dmg. : 35.8305
05-06-18-01 - Avg. Dmg. : 35.8246
02-17-07-04 - Avg. Dmg. : 35.8243
26-00-04-00 - Avg. Dmg. : 35.8186
02-13-06-09 - Avg. Dmg. : 35.8136
03-12-14-01 - Avg. Dmg. : 35.813
03-23-01-03 - Avg. Dmg. : 35.8104
02-14-04-10 - Avg. Dmg. : 35.8093
08-04-02-16 - Avg. Dmg. : 35.8077
04-09-17-00 - Avg. Dmg. : 35.8069
03-10-03-14 - Avg. Dmg. : 35.8026
04-09-01-16 - Avg. Dmg. : 35.8016
02-19-00-09 - Avg. Dmg. : 35.8007
02-20-01-07 - Avg. Dmg. : 35.7975
09-02-06-13 - Avg. Dmg. : 35.7975
03-18-09-00 - Avg. Dmg. : 35.7927
05-05-06-14 - Avg. Dmg. : 35.79
02-15-09-04 - Avg. Dmg. : 35.7898
02-15-03-10 - Avg. Dmg. : 35.7894
05-05-17-03 - Avg. Dmg. : 35.7861
02-18-00-10 - Avg. Dmg. : 35.7825
02-20-00-08 - Avg. Dmg. : 35.7817
08-02-09-11 - Avg. Dmg. : 35.7801
04-06-15-05 - Avg. Dmg. : 35.7779
03-08-08-11 - Avg. Dmg. : 35.7777
03-08-14-05 - Avg. Dmg. : 35.7754
14-00-04-12 - Avg. Dmg. : 35.775
16-00-02-12 - Avg. Dmg. : 35.7733
26-00-01-03 - Avg. Dmg. : 35.7716
03-15-12-00 - Avg. Dmg. : 35.7648
02-12-07-09 - Avg. Dmg. : 35.7595
12-01-04-13 - Avg. Dmg. : 35.7574
02-13-09-06 - Avg. Dmg. : 35.7571
02-17-01-10 - Avg. Dmg. : 35.7544
02-19-05-04 - Avg. Dmg. : 35.7541
11-00-13-06 - Avg. Dmg. : 35.7526
03-08-07-12 - Avg. Dmg. : 35.7487
02-21-00-07 - Avg. Dmg. : 35.7475
10-01-08-11 - Avg. Dmg. : 35.7465
16-01-00-13 - Avg. Dmg. : 35.7429
05-24-01-00 - Avg. Dmg. : 35.738
02-13-05-10 - Avg. Dmg. : 35.7356
03-16-11-00 - Avg. Dmg. : 35.7346
02-13-10-05 - Avg. Dmg. : 35.7258
03-21-05-01 - Avg. Dmg. : 35.7258
04-07-17-02 - Avg. Dmg. : 35.725
02-15-02-11 - Avg. Dmg. : 35.7223
07-03-07-13 - Avg. Dmg. : 35.7215
11-00-12-07 - Avg. Dmg. : 35.7164
04-06-16-04 - Avg. Dmg. : 35.7107
19-00-00-11 - Avg. Dmg. : 35.71
02-20-03-05 - Avg. Dmg. : 35.7064
11-00-14-05 - Avg. Dmg. : 35.7064
11-00-11-08 - Avg. Dmg. : 35.7039
09-02-18-01 - Avg. Dmg. : 35.7014
04-24-01-01 - Avg. Dmg. : 35.6946
03-14-13-00 - Avg. Dmg. : 35.6916
02-14-10-04 - Avg. Dmg. : 35.6911
10-01-17-02 - Avg. Dmg. : 35.6906
02-12-10-06 - Avg. Dmg. : 35.6878
03-09-15-03 - Avg. Dmg. : 35.6877
02-14-03-11 - Avg. Dmg. : 35.6873
06-05-19-00 - Avg. Dmg. : 35.686
07-04-19-00 - Avg. Dmg. : 35.6744
02-12-08-08 - Avg. Dmg. : 35.6658
02-16-01-11 - Avg. Dmg. : 35.6657
04-06-07-13 - Avg. Dmg. : 35.6633
06-04-06-14 - Avg. Dmg. : 35.6614
02-12-09-07 - Avg. Dmg. : 35.6608
03-24-00-03 - Avg. Dmg. : 35.6601
11-00-15-04 - Avg. Dmg. : 35.6573
06-06-01-17 - Avg. Dmg. : 35.6547
02-21-01-06 - Avg. Dmg. : 35.6544
05-04-12-09 - Avg. Dmg. : 35.6432
02-21-02-05 - Avg. Dmg. : 35.6394
04-08-02-16 - Avg. Dmg. : 35.6366
06-04-18-02 - Avg. Dmg. : 35.6332
08-05-00-17 - Avg. Dmg. : 35.6297
02-17-08-03 - Avg. Dmg. : 35.6263
03-19-08-00 - Avg. Dmg. : 35.6259
03-10-15-02 - Avg. Dmg. : 35.6254
02-16-09-03 - Avg. Dmg. : 35.6231
03-11-15-01 - Avg. Dmg. : 35.6196
26-00-00-04 - Avg. Dmg. : 35.6176
02-13-04-11 - Avg. Dmg. : 35.6162
05-07-01-17 - Avg. Dmg. : 35.6135
09-01-14-06 - Avg. Dmg. : 35.6115
02-12-06-10 - Avg. Dmg. : 35.6095
02-20-04-04 - Avg. Dmg. : 35.6034
08-02-08-12 - Avg. Dmg. : 35.5996
03-12-00-15 - Avg. Dmg. : 35.5995
11-01-18-00 - Avg. Dmg. : 35.5962
03-09-04-14 - Avg. Dmg. : 35.5955
08-03-19-00 - Avg. Dmg. : 35.5939
13-00-05-12 - Avg. Dmg. : 35.593
03-11-01-15 - Avg. Dmg. : 35.5917
08-02-17-03 - Avg. Dmg. : 35.5835
04-07-04-15 - Avg. Dmg. : 35.5831
17-00-01-12 - Avg. Dmg. : 35.5825
02-18-07-03 - Avg. Dmg. : 35.5823
06-03-14-07 - Avg. Dmg. : 35.5818
12-00-07-11 - Avg. Dmg. : 35.5791
12-00-17-01 - Avg. Dmg. : 35.5718
02-17-00-11 - Avg. Dmg. : 35.5702
02-19-06-03 - Avg. Dmg. : 35.5673
02-13-11-04 - Avg. Dmg. : 35.5619
06-03-11-10 - Avg. Dmg. : 35.5619
02-12-11-05 - Avg. Dmg. : 35.5617
03-23-02-02 - Avg. Dmg. : 35.5606
07-03-18-02 - Avg. Dmg. : 35.5589
27-01-02-00 - Avg. Dmg. : 35.5573
02-15-10-03 - Avg. Dmg. : 35.5559
05-06-03-16 - Avg. Dmg. : 35.5512
03-10-02-15 - Avg. Dmg. : 35.5436
09-01-12-08 - Avg. Dmg. : 35.5436
06-05-03-16 - Avg. Dmg. : 35.5386
03-08-15-04 - Avg. Dmg. : 35.5376
02-11-09-08 - Avg. Dmg. : 35.5368
05-04-14-07 - Avg. Dmg. : 35.5358
05-05-18-02 - Avg. Dmg. : 35.5329
09-01-13-07 - Avg. Dmg. : 35.5318
09-01-15-05 - Avg. Dmg. : 35.5206
05-04-11-10 - Avg. Dmg. : 35.5148
27-02-01-00 - Avg. Dmg. : 35.5146
03-07-11-09 - Avg. Dmg. : 35.5117
02-14-02-12 - Avg. Dmg. : 35.5107
07-05-01-17 - Avg. Dmg. : 35.5089
11-02-02-15 - Avg. Dmg. : 35.5079
05-04-13-08 - Avg. Dmg. : 35.5052
03-13-14-00 - Avg. Dmg. : 35.5021
06-03-12-09 - Avg. Dmg. : 35.5021
02-11-10-07 - Avg. Dmg. : 35.5001
06-03-13-08 - Avg. Dmg. : 35.4985
02-14-11-03 - Avg. Dmg. : 35.4976
08-03-04-15 - Avg. Dmg. : 35.4961
11-00-10-09 - Avg. Dmg. : 35.4954
27-01-01-01 - Avg. Dmg. : 35.4953
10-03-01-16 - Avg. Dmg. : 35.4945
03-08-06-13 - Avg. Dmg. : 35.4904
05-04-10-11 - Avg. Dmg. : 35.49
10-01-07-12 - Avg. Dmg. : 35.4818
04-05-13-08 - Avg. Dmg. : 35.481
02-22-00-06 - Avg. Dmg. : 35.4797
02-11-08-09 - Avg. Dmg. : 35.4775
02-20-05-03 - Avg. Dmg. : 35.4775
04-08-18-00 - Avg. Dmg. : 35.4726
11-01-05-13 - Avg. Dmg. : 35.4725
03-07-12-08 - Avg. Dmg. : 35.4689
05-04-15-06 - Avg. Dmg. : 35.466
11-03-00-16 - Avg. Dmg. : 35.4659
04-23-03-00 - Avg. Dmg. : 35.4644
11-00-16-03 - Avg. Dmg. : 35.4632
03-20-07-00 - Avg. Dmg. : 35.459
05-04-09-12 - Avg. Dmg. : 35.4569
03-07-10-10 - Avg. Dmg. : 35.4542
02-12-05-11 - Avg. Dmg. : 35.4541
04-06-17-03 - Avg. Dmg. : 35.4453
02-11-11-06 - Avg. Dmg. : 35.4447
02-13-03-12 - Avg. Dmg. : 35.4398
09-01-10-10 - Avg. Dmg. : 35.4394
13-02-00-15 - Avg. Dmg. : 35.4332
02-15-01-12 - Avg. Dmg. : 35.4319
18-00-00-12 - Avg. Dmg. : 35.4309
02-22-01-05 - Avg. Dmg. : 35.4273
27-02-00-01 - Avg. Dmg. : 35.4267
06-03-15-06 - Avg. Dmg. : 35.4226
27-00-02-01 - Avg. Dmg. : 35.419
04-06-06-14 - Avg. Dmg. : 35.4185
04-07-18-01 - Avg. Dmg. : 35.4136
02-11-06-11 - Avg. Dmg. : 35.41
27-01-00-02 - Avg. Dmg. : 35.4075
05-04-16-05 - Avg. Dmg. : 35.4064
02-16-00-12 - Avg. Dmg. : 35.4045
27-00-03-00 - Avg. Dmg. : 35.4044
02-12-12-04 - Avg. Dmg. : 35.4041
07-04-03-16 - Avg. Dmg. : 35.403
03-22-04-01 - Avg. Dmg. : 35.4018
12-02-01-15 - Avg. Dmg. : 35.4008
03-07-14-06 - Avg. Dmg. : 35.4001
27-03-00-00 - Avg. Dmg. : 35.397
02-21-03-04 - Avg. Dmg. : 35.3965
03-07-13-07 - Avg. Dmg. : 35.3942
02-11-07-10 - Avg. Dmg. : 35.3934
09-01-11-09 - Avg. Dmg. : 35.3911
14-01-01-14 - Avg. Dmg. : 35.3862
02-17-09-02 - Avg. Dmg. : 35.3798
04-05-12-09 - Avg. Dmg. : 35.379
06-04-19-01 - Avg. Dmg. : 35.3754
05-05-05-15 - Avg. Dmg. : 35.3753
04-05-11-10 - Avg. Dmg. : 35.37
07-03-06-14 - Avg. Dmg. : 35.3695
03-10-16-01 - Avg. Dmg. : 35.3681
09-02-05-14 - Avg. Dmg. : 35.3652
03-12-15-00 - Avg. Dmg. : 35.3622
03-09-16-02 - Avg. Dmg. : 35.3601
03-07-09-11 - Avg. Dmg. : 35.357
02-11-12-05 - Avg. Dmg. : 35.3461
03-09-03-15 - Avg. Dmg. : 35.3422
02-10-10-08 - Avg. Dmg. : 35.3401
10-01-18-01 - Avg. Dmg. : 35.3388
02-12-04-12 - Avg. Dmg. : 35.3348
03-11-00-16 - Avg. Dmg. : 35.3337
04-05-14-07 - Avg. Dmg. : 35.3334
27-00-01-02 - Avg. Dmg. : 35.3332
02-16-10-02 - Avg. Dmg. : 35.3306
02-15-11-02 - Avg. Dmg. : 35.3244
06-03-10-11 - Avg. Dmg. : 35.3239
04-07-03-16 - Avg. Dmg. : 35.3224
04-25-00-01 - Avg. Dmg. : 35.3216
04-09-00-17 - Avg. Dmg. : 35.3149
03-07-08-12 - Avg. Dmg. : 35.3101
13-01-02-14 - Avg. Dmg. : 35.3078
06-03-16-05 - Avg. Dmg. : 35.304
06-04-05-15 - Avg. Dmg. : 35.3016
09-01-16-04 - Avg. Dmg. : 35.2965
04-06-05-15 - Avg. Dmg. : 35.2909
11-00-09-10 - Avg. Dmg. : 35.2883
04-05-10-11 - Avg. Dmg. : 35.2873
05-06-19-00 - Avg. Dmg. : 35.2831
02-11-05-12 - Avg. Dmg. : 35.2814
03-08-05-14 - Avg. Dmg. : 35.279
05-04-17-04 - Avg. Dmg. : 35.2773
02-18-08-02 - Avg. Dmg. : 35.276
02-21-04-03 - Avg. Dmg. : 35.2746
12-01-03-14 - Avg. Dmg. : 35.2725
10-02-03-15 - Avg. Dmg. : 35.2723
08-02-18-02 - Avg. Dmg. : 35.2657
02-14-12-02 - Avg. Dmg. : 35.2544
09-03-02-16 - Avg. Dmg. : 35.2504
15-00-02-13 - Avg. Dmg. : 35.2445
09-02-19-00 - Avg. Dmg. : 35.2427
04-05-15-06 - Avg. Dmg. : 35.2426
03-08-16-03 - Avg. Dmg. : 35.2418
02-10-09-09 - Avg. Dmg. : 35.2396
02-13-12-03 - Avg. Dmg. : 35.2353
02-10-11-07 - Avg. Dmg. : 35.2336
